Control,Adjustment,Description
,Preview Path,"Tap to preview the Navigation View in either Lock to Path or Preview Path mode, with the option to view any vasculature that was added during planning. Note the various preview modes and options: • Lock to Path mode: On by default, Lock to Path locks the Navi- gation View to the path towards the selected destination. Lock to Path mode forces the Navigation View to remain on the path to the target, but still follows the insertion motion of the real Catheter, and can be used with the Live View to accurately facil- itate navigation to the target. While relying on the Live View, use Lock to Path to indicate which turns to make. If there is divergence between the Live View and Navigation View, use the arrows that appear on the touchscreen to adjust the insertion or retraction of the Navigation View to match the Live View. Use the Move Target or Catheter reference function- ality to help localize the target. • Preview Path mode: Tap Scroll Wheel Lock to unlock Lock to Path and enter Preview Path to preview the selected path to the target without moving the actual Catheter. Use the arrows to move the Navigation View Catheter forward or backward through the airway. See Figure 4.22. • Vasculature: Depicts both arteries and veins in red. Tap Vascu- lature to toggle the visibility of any vasculature that was added during planning. Vasculature is visible only in the Navigation View when either Preview Path or Lock to Path mode is active."
,Adjust Tree,"Tap and hold with one finger to rotate, tap and hold with two fingers to pan, and pinch to zoom into the airway tree on the monitor. The Tree View is set to follow Catheter movement by default and stops when the tree is rotated. Recenter to follow the Catheter movement again. The Tree View can be rotated only in manual view. You can also toggle the visibility of the target, reference areas, and anatomy borders. • Airway Tree: Tap Airway Tree to view the approximate shape of the Catheter within the airways. If the target is updated, the option to switch to Airway Tree is disabled until the target is reset. • Set the angle for Tree View to match the fluoroscope angle, or input any desired angle by tapping Adjust Angle on the Con- troller touchscreen. Rotate the Tree View to get the optimal angle for viewing by tapping the view orientations on the Con- troller touchscreen (Axial, Sagittal, Coronal, Follow, Manual, and Adjust Angle). Tap Coronal to rotate the tree to the anterior- posterior view."
