Symbol or Icon,Description
,Do not re-sterilize
,Do not re-use
,Do not use autoclave method to reprocess product
,Do not use if package is damaged
,Indicates Equipotential Terminal It may be necessary for the reader to be as close as 6 in. (15 cm) from the equipotential terminal to view this symbol.
,Indicates to keep dry
,Indicates a medical device that needs protection from direct sunlight and heat.
,Indicates use by date
,Indicates the manufacturer's catalogue number so the device can be identified
,Indicates the version
,Indicates the quantity
,Indicates the manufacturer's batch code so that the batch or lot can be identified
,Uses. The adjacent number indicates the number of procedures after which a device expires.
