,LxWxH,Weight
System Cart,53.5 in. (136 cm) x 49.0 in. (125 cm) x 78.0 in. (198 cm),1201.5 lbs. (545 kg)
Controller,44.5 in. (113 cm) x 22.0 in. (56 cm) x 29.0 in. (74 cm),121.3 lbs. (55 kg)
