LED Status,Meaning
Red/solid,"Action required (for example, a non-recoverable fault, or the E- stop button is pressed)"
Red/blinking,Contact Customer Service and do not touch the system (keep the system powered on and connected to AC power). The system must be serviced by Intuitive personnel.
