Term,Meaning
Procedure Room,"A room where bronchoscopy procedures are performed, generally in an outpatient setting."
R-EBUS,Radial endobronchial ultrasound.
System Cart,"The part of the system that is located on the patient-side and consists of the arm that supports the setup joints that control the Catheter, and the main monitors."
Screen,"The monitor displays, located on the top and bottom monitors, and on the Controller touchscreen."
SPD,"Sterile Processing Department. Also called Central Sterile Supply Department (CSSD) is a department in hospitals and other healthcare facilities that performs cleaning, sterilization and other actions on medical devices and equipment."
Target,"The lesion, nodule, or tumor to be accessed for biopsy."
Touchscreen,The touchscreen monitor on the Controller.
Vision Probe,Provides the live video image (Live View) to the system and the user.
WARNING,"A warning alerts the reader about a situation which, if not avoided, could result in death or serious injury."
