System Component,Cable Length,Power Requirement,Standby Power Draw,Voltage
System Cart,25 feet (6 meters),1.2 kW,700W,100-230 V~ 50/60 Hz Auto Sense
Controller,11 feet 10 inches (3.6 meters) or 9 feet 8 inches (2.95 meters),NA,NA,NA
