Control,Adjustment,Description
,Take Screenshot,"Tap (if available) to take a screenshot of everything on the System Cart monitors. The system obscures certain personal health information or personal information (patient name, birthday, and ID) from the exported screenshot. Other personal health information or personal information may be visible on the Live or Fluoro views (for example, a patient tag that is visible on the Live View when a screenshot is captured). To save screenshots, a USB storage device must be inserted into the Controller. Screenshots will save onto the USB storage device along with a media file that pairs each screenshot with the asso- ciated patient ID. Because screenshots may contain personal information, secure your USB device in accordance with your institution's security policies and procedures. Contact Customer Service to enable system screenshots."
,Start Video or Stop Video,"Tap (if available) to start or stop recording video of everything showing on the System Cart monitors. The system obscures certain personal health information or personal information (patient name, birthday, and ID) from the exported video. Other personal health information or personal information may be visible on the Live or Fluoro views (for example, a patient tag that is visible on the Live View when recording video). To save recorded video, a USB storage device must be inserted into the Controller. Recorded video will save onto the USB storage device along with a media file that pairs each video with the asso- ciated patient ID. Note: Do not remove the USB while recording or immediately after stopping recording, as this may result in corrupt video files. Because video recordings may contain personal information, secure your USB device in accordance with your institution's security policies and procedures. Contact Customer Service to enable video recording."
