Symbol,Meaning
,Note: Highlights important information.
,"Caution: Alerts the reader about a potentially hazardous situation which, if not avoided, may result in minor or moderate injury to the user or patient or damage to the equipment or other property. It may also be used to alert against unsafe practices. This includes the special care necessary for the safe and effective use of the device and the care necessary to avoid damage to a device that may occur as a result of use or misuse."
,"Warning: Alerts the reader about a situation which, if not avoided, could result in death or serious injury."
