Part Number (PN),Component Name
490104,19G Flexision Biopsy Needle
490103,21G Flexision Biopsy Needle
490102,23G Flexision Biopsy Needle
490107,Catheter Guide
490105,Ion Fully Articulating Catheter
490206,Ion Peripheral Vision Probe
490101,Vision Probe Adapter (includes Suction Adapter)
490108,Swivel Connector
