Table 1 (continued),
Nodule Features,n =120
Right lower lobe,30 (25%)
Left upper lobe,28 (23.3%)
Lingula,3 (2.5%)
Left lower lobe,14 (11.7%)
Size,
"Short axis, millimeters",15.5 (8-25.3)
"Long axis, millimeters",22 (13-34.3)
Nodules 10 mmor under (long axis),19 (15.8%)
Nodules 11-20mm,39 (32.5%)
Nodules 21-30mm,27 (22.5%)
Nodules>30mm,35 (29.2%)
Characteristics,
Solid,87 (72.5%)
Part-solid,25 (20.8%)
Ground glass,8 (6.7%)
Bronchus sign present,58 (48.3%)
"Pleural distance, millimeters",6 (0-15)
Procedure Details,
REBUS used,120 (100%)
Concentric,67 (55.8%)
Eccentric,37 (30.8%)
No signal,16 (13.3%)
Complications,n =112
Pneumothorax,6 (5.4%)
Chest tube placement,3 (2.7%)
Minor bleeding,3 (2.7%)
