Demographics and clinical characteristics,Median (IQR) or frequency (%) n =112
"Age, years",71 (64-76)
Sex,
Women,60 (54%)
Men,52 (46%)
Smoking history,66 (59%)
Pack years,25 (15-50)
Comorbidities,
Pulmonary Disease,66 (59%)
Radiographic emphysema,38 (34%)
COPD,33 (29%)
Interstitial lung disease,22 (20%)
Asthma,11 (9.8%)
Chronic respiratory failure on home oxygen,4 (3.6%)
Lung transplant,3 (2.7%)
Sarcoidosis,2 (1.8%)
Non-Pulmonary Disease,105 (94%)
Hypertension,51 (46%)
Hyperlipidemia,36 (32%)
Prior Malignancy,37 (33%)
Lung,11 (9.8%)
Breast,8 (7.1%)
Prostate,6 (5.4%)
Hematologic,6 (5.4%)
Uterine,4 (3.6%)
Renal Cell,3 (2.7%)
Melanoma,2 (5.7%)
Bladder,2 (1.8%)
Colon,2 (1.8%)
Head and Neck,2 (1.8%)
Pancreatic,1 (0.9%)
Hepatocellular,1 (0.9%)
With more than 1 malignancy,9 (8%)
Cardiac disease/stroke,23 (20.5%)
GERD,20 (17.9%)
Diabetes mellitus II,19 (17%)
Medications,
Antiplatelet agent*,20 (17.8%)
Therapeutic anticoagulation**,12 (10.7%)
Laboratory Values,
Platelet count×10 9 per l,249 (192.5-301)
International normalized ratio,1 (1-1.1)
"Blood urea nitrogen, mg/dL",16 (13-22)
"Creatinine, mg/dL",0.89 (0.74-1.1)
Nodule Features,n =120
Location,
Right upper lobe,35 (29.2%)
Right middle lobe,10 (8.3%)
